Rk,Player,2021-22,Signed Using,Guaranteed
384,Eric Paschall,1782621,MLE,1782621
385,KZ Okpala,1782621,,1782621
386,Bruno Fernando,1782621,Cap space,1782621
387,Cody Martin,1782621,MLE,1782621
388,Nic Claxton,1782621,Minimum Salary,1782621
389,Luguentz Dort,1782621,Minimum Salary,625000
390,Isaiah Roby,1782621,,
391,Naz Reid,1782621,,
392,Jaylen Nowell,1782621,,
393,Vlatko Čančar,1782621,,
394,Dean Wade,1782621,,
395,Jalen McDaniels,1782621,,
396,Drew Eubanks,1762796,,1762796
397,Chimezie Metu,1762796,,
398,Yuta Watanabe,1762769,,
399,Svi Mykhailiuk,1729217,Minimum Salary,1729217
400,Keita Bates-Diop,1729217,Minimum Salary,1729217
401,Moritz Wagner,1729217,Minimum Salary,1729217
402,Thanasis Antetokounmpo,1729217,Minimum Salary,1729217
403,Isaac Bonga,1729217,,
404,Isaiah Hartenstein,3430810,,
405,Juan Toscano-Anderson,1701593,Minimum Salary,1701593
406,Moses Brown,1701593,,1701593
407,Oshae Brissett,1701593,,
408,Isaiah Hartenstein,3430810,,
409,Herbert Jones,1700000,MLE,3485000
410,Gabriel Deck,1690507,Cap Space,1690507
411,Jordan McLaughlin,1669178,Early Bird,5453037
412,Javonte Green,1669178,Minimum Salary,3484855
413,Max Strus,1669178,Minimum Salary,1669178
414,Gabe Vincent,1669178,Minimum Salary,1669178
415,Kevin Pangos,1669178,MLE,1669178
416,Matt Thomas,1669178,Minimum Salary,1669178
417,Xavier Sneed,1563518,Two-Way Contract,1563518
418,Vernon Carey Jr.,1517981,Cap Space,3300602
419,Xavier Tillman Sr.,1517981,MLE,3300602
420,Tyrell Terry,1517981,,3300602
421,Tre Jones,1517981,MLE,1517981
422,Robert Woodard II,1517981,,1517981
423,Jahmi'us Ramsey,1517981,,1517981
424,CJ Elleby,1517981,Minimum Salary,1517981
425,Elijah Hughes,1517981,Minimum Salary,1517981
426,Isaiah Joe,1517981,MLE,1517981
427,Naji Marshall,1517981,MLE,1517981
428,Jordan Nwora,1517981,Minimum Salary,1517981
429,Nick Richards,1517981,Cap Space,1517981
430,Anthony Gill,1517981,,
431,Paul Reed,1517981,,
432,Jae'Sean Tate,1517981,,
433,Kenyon Martin Jr.,1517981,,
434,Lamar Stevens,1517981,,
435,Isaiah Todd,1500000,MLE,4899614
436,Saben Lee,1489065,Cap Space,3241703
437,Omer Yurtseven,1489065,Minimum Salary,1489065
438,Armoni Brooks,1489065,,1489065
439,J.R. Smith,1456666,,1456666
440,Danuel House Jr.,2045094,,1387498
441,Bismack Biyombo,1366392,Minimum Salary,1518213
442,George Hill,4000000,,1275491
443,DeMarre Carroll,1252127,,1252127
444,JT Thor,1250000,Cap Space,2813518
445,Garrison Mathews,1093598,Cap Space,1093598
446,Alfonzo McKinnie,1090007,Minimum Salary,202176
447,Jabari Parker,1068288,,1168288
448,Jason Preston,1062303,Mini MLE,2625821
449,Isaiah Livers,1057260,Cap Space,2620778
450,Guerschon Yabusele,1039080,,1039080
451,Aaron Wiggins,1000000,Cap Space,1000000
452,Kyle Singler,999200,,1998400
453,Marquese Chriss,958529,Minimum Salary,3486820
454,Jared Butler,925258,Minimum Salary,2488776
455,Greg Brown III,925258,Mini MLE,2488776
456,Miles McBride,925258,Cap Space,2488776
457,Brandon Boston Jr.,925258,Mini MLE,2488776
458,Marko Simonovic,925258,MLE,2488776
459,Vit Krejci,925258,MLE,1707017
460,Charles Bassey,925258,MLE,1000000
461,Dalano Banton,925258,Minimum Salary,925258
462,Jock Landale,925258,Minimum Salary,925258
463,Ayo Dosunmu,925258,Minimum Salary,925258
464,Austin Reaves,925258,,
465,Luka Garza,925258,,
466,Lance Stephenson,924730,Minimum Salary,1476806
467,Stanley Johnson,888616,Minimum Salary,1248865
468,Miye Oni,850331,,850331
469,Wayne Selden,785102,,785102
470,Brad Wanamaker,705598,,705598
471,Alize Johnson,705598,,705598
472,Shaun Livingston,666666,,666666
473,Sam Merrill,663024,Minimum Salary,663024
474,Danuel House Jr.,2045094,Minimum Salary,991967
475,DeMarcus Cousins,759106,,607285
476,Luke Kornet,606702,Minimum Salary,606702
477,DeAndre' Bembry,2541217,Minimum Salary,601867
478,Ryan Arcidiacono,586136,Minimum Salary,791798
479,Keifer Sykes,558345,,
480,Caleb Martin,527614,Minimum Salary,527614
481,Georgios Kalaitzakis,462629,,462629
482,Gary Clark,377645,,377645
483,Sam Dekker,350000,,350000
484,Admiral Schofield,,,300000
485,Daishen Nix,292466,Minimum Salary,5680678
486,Ish Wainright,,,375000
487,Bismack Biyombo,1366392,,1518213
488,DeMarcus Cousins,759106,,455463
489,DeMarcus Cousins,759106,,455463
490,DeMarcus Cousins,759106,Minimum Salary,455463
491,Lance Stephenson,924730,,1476806
492,Lance Stephenson,924730,,1476806
493,Lance Stephenson,924730,,1476806
494,Lance Stephenson,924730,,1476806
495,Brandon Knight,,,138019
496,Lance Stephenson,924730,,138019
497,Troy Williams,122741,,245482
498,Stanley Johnson,888616,,1248865
499,Stanley Johnson,888616,,1248865
500,Stanley Johnson,888616,,1248865
501,Stanley Johnson,888616,,120083
502,Marquese Chriss,958529,,3486820
503,Marquese Chriss,958529,,3486820
504,Marquese Chriss,958529,,3486820
505,Danuel House Jr.,2045094,,991967
506,Danuel House Jr.,2045094,,991967
507,Danuel House Jr.,2045094,,991967
508,Danuel House Jr.,2045094,,111457
509,Ryan Arcidiacono,586136,,791798
510,Ryan Arcidiacono,586136,,791798
511,Luke Kornet,606702,,102831
512,Luke Kornet,606702,,102831
513,Alfonzo McKinnie,1090007,,202176
514,Alfonzo McKinnie,1090007,,202176
515,Jabari Parker,1068288,,1168288
516,Theo Pinson,,,197076
517,Brad Wanamaker,705598,,99380
518,Alize Johnson,705598,,99380
519,Brandon Goodwin,,,99380
520,Theo Pinson,,,197076
521,Davon Reed,,,286164
522,Davon Reed,,,286164
523,Kyle Guy,,,191860
524,Kyle Guy,,,191860
525,Charlie Brown Jr.,,,95930
526,Miye Oni,850331,,95930
527,Quinndary Weatherspoon,,,95930
528,Charlie Brown Jr.,,,95930
529,Davon Reed,,,286164
530,Demetrius Jackson,92857,,278571
531,Haywood Highsmith,85578,,171156
532,Haywood Highsmith,85578,Minimum Salary,171156
533,Admiral Schofield,,,169706
534,Emanuel Terry,85578,Minimum Salary,85578
535,Tyrell Terry,1517981,,85578
536,Admiral Schofield,,,169706
537,Xavier Sneed,1563518,,53176
538,Malcolm Hill,,,53176
539,Malcolm Hill,,,53176
